DepartmentGroup,Department,GradeGroup,Grade,Role,RoleWithoutNumbers,EmployeeGradeDesc,HRLinkDeptCode,PreassignedPackageID,CreatedOn,ModifiedOn,ModifiedBy,Active
"Strategy, Research & Analytics",Strategy,Strategy Directors,102446,"0513 Strategy, Associate Director, Senior","Strategy, Associate Director, Senior",NULL,NULL,NULL,12:22.0,NULL,NULL,1
Partnerships,Partnerships,Partnerships Directors,103816,"9840 Partnerships, Director, EVP","Partnerships, Director, EVP",NULL,NULL,NULL,12:22.0,NULL,NULL,1
Partnerships,Partnerships,Partnerships,103817,"9840 Partnerships, Manager","Partnerships, Manager",NULL,NULL,NULL,12:22.0,NULL,NULL,1
IP & CT,Production: IP,"Integrated Producers, Directors",103818,"7510 Integrated Production, Senior Director","Integrated Production, Senior Director",NULL,NULL,NULL,12:22.0,NULL,NULL,1
IP & CT,Production: IP,"Integrated Producers, Directors",103819,"7512 Integrated Production, Associate Director","Integrated Production, Associate Director",NULL,NULL,NULL,12:22.0,NULL,NULL,1
Experience Design (XD),Experience Design (XD),XD - Designers,103820,"5110 XD, Design, Director, Senior","XD, Design, Director, Senior",NULL,NULL,NULL,12:22.0,NULL,NULL,1
Experience Design (XD),Experience Design (XD),XD - Graphic Designers,103821,"5211 XD, Group Graphic Design, Associate Director","XD, Group Graphic Design, Associate Director",NULL,NULL,NULL,12:22.0,NULL,NULL,1
Studio,Production: Print Buying,Print Buyer,103822,"9541 Print & Premiums Specialist, Senior","Print & Premiums Specialist, Senior",NULL,NULL,NULL,12:22.0,NULL,NULL,1
Experience Production (XP),Production: XP,XP - Directors,103823,"6010 Production, Director, Senior","Production, Director, Senior",NULL,NULL,NULL,12:22.0,NULL,NULL,1
Experience Production (XP),Production: XP,XP - Warehouse Managers,103824,6213 Warehouse Associate,Warehouse Associate,NULL,NULL,NULL,12:22.0,NULL,NULL,1
Experience Production (XP),Production: XP,XP - Warehouse Managers,103825,"6214 Warehouse Associate, Senior","Warehouse Associate, Senior",NULL,NULL,NULL,12:22.0,NULL,NULL,1
IP & CT,Production: CT,Creative Technologists,103829,"7512 Creative Technologist, Associate","Creative Technologist, Associate",NULL,NULL,NULL,12:22.0,NULL,NULL,1
Partnerships,Partnerships,Partnerships Directors,103833,"9840 Partnerships, Director, SVP","Partnerships, Director, SVP",NULL,NULL,NULL,12:22.0,NULL,NULL,1
Partnerships,Partnerships,Partnerships Directors,103834,"9840 Partnerships, Director, Group VP","Partnerships, Director, Group VP",NULL,NULL,NULL,12:22.0,NULL,NULL,1
Partnerships,Partnerships,Partnerships Directors,103835,"9840 Partnerships, Director, VP","Partnerships, Director, VP",NULL,NULL,NULL,12:22.0,NULL,NULL,1
Partnerships,Partnerships,Partnerships Directors,103836,"9840 Partnerships, Director","Partnerships, Director",NULL,NULL,NULL,12:22.0,NULL,NULL,1
Partnerships,Partnerships,Partnerships,103837,"9840 Partnerships, Senior Associate","Partnerships, Senior Associate",NULL,NULL,NULL,12:22.0,NULL,NULL,1
Partnerships,Partnerships,Partnerships,103838,"9840 Partnerships, Associate","Partnerships, Associate",NULL,NULL,NULL,12:22.0,NULL,NULL,1
Studio,Production: Edit,Editors,103177,"9439 Video Editor, Senior","Video Editor, Senior",NULL,NULL,NULL,12:22.0,NULL,NULL,1
Studio,Production: Studio,Studio Leadership,103023,9010 Studio Director,Studio Director,NULL,NULL,NULL,12:22.0,NULL,NULL,1
